Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic
199,9.19,12,7,467.65,386
93,9.21,6,9,147.92,590
223,4.03,6,14,263.39,842
422,8.52,7,11,85.87,589
339,5.49,10,14,329.84,552
445,6.61,14,6,328.98,74
396,4.88,16,9,300.36,308
51,6.4,7,12,34.43,281
141,3.11,15,2,115.58,865
286,5.05,15,2,279.84,599
154,5.59,16,4,380.61,873
100,8.3,11,5,78.84,431
263,3.5,6,7,213.66,224
78,8.46,14,9,139.76,753
239,4.26,16,9,192.94,443
417,7.42,9,2,383.35,815
193,7.38,11,12,353.17,933
105,4.79,15,12,58.04,86
66,9.21,10,11,305.96,506
195,6.43,15,10,94.12,574
382,3.35,12,3,328.8,92
429,3.26,11,10,167.06,497
95,9.73,9,5,405.48,355
379,8.4,8,10,234.52,525
438,2.59,8,4,104.09,341
263,7.51,9,13,466.93,54
171,9.67,11,10,288.77,842
364,9.64,8,9,257.85,69
359,5.35,13,5,110.93,462
75,5.67,10,11,418.12,516
338,7.11,11,13,338.66,948
53,3.53,14,14,273.67,864
98,3.3,11,4,383.44,228
59,6.74,15,3,59.91,465
401,7.71,8,13,88.28,917
214,3.93,9,12,493.68,967
130,6.1,6,3,89.63,940
274,9.32,17,7,81.84,672
493,5.57,8,14,158.57,184
296,4.31,13,7,92.44,505
280,7.23,9,7,303.52,869
377,8.56,11,12,371.88,439
433,8.96,16,8,285.45,447
448,2.92,7,10,316.15,713
335,9.79,14,7,107.84,129
299,8.16,12,11,497.79,104
289,9.25,7,12,271.41,365
495,9.49,17,3,133.89,933
480,3.76,13,10,249.07,909
89,8.67,14,10,45.46,441
214,8.09,8,10,197.97,253
138,3.51,13,8,415.17,699
217,8.0,14,3,268.81,478
450,9.94,16,13,327.28,700
362,5.0,6,13,422.67,348
103,7.57,11,13,45.89,333
420,6.41,11,14,341.29,392
353,3.97,9,10,427.75,445
